Timestamp,Gender,Age,exercise_pre,type_exercise_pre,time_pre,low_intens_pre,social_workout_pre,days_exercise_lock,type_exercise_lock,diff_exercise,time_lock,low_intens_lock,social_workout_lock,motivation_diff,social_circle_exercise,zz,moderate_intens_pre,high_intens_pre,moderate_intens_lock,high_intens_lock,xx,yy
27/04/2021 22.10.05,Kvinde,41,5,"Gåture, Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,1-25 %,3,4,"Gåture, Løb, Vægttræning, Hjemmetræning",Det har været nogenlunde det sammen,4-5 timer,50-75%,3,3,Ja,,50-75%,1-25%,25-50%,1-25%,,
27/04/2021 22.23.54,Kvinde,26,5,"Gåture, Løb, Cykling, yoga",Over 5 timer,1-25 %,3,3,"Gåture, Løb, Cykling, Hjemmetræning",Det har ikke været det samme,2-3 timer,1-25%,2,2,Nej,,50-75%,0%,50-75%,0%,,
27/04/2021 22.44.31,Kvinde,23,6,"Gåture, Cykling, yoga, Hjemmetræning",3-4 timer,50-75%,0,6,"Gåture, Løb, Cykling, Hjemmetræning",Det har været nogenlunde det sammen,4-5 timer,50-75%,1,4,Nej,,1-25%,0%,1-25%,0%,,
27/04/2021 22.59.36,Kvinde,432,Aldrig,Gåture,Under 1 time,0%,0,Aldrig,Gåture,Det har været det helt samme,Under 1 time,75-100%,1,2,,,0%,0%,0%,0%,,
27/04/2021 23.01.05,Kvinde,53,2,Gåture,1-2 timer,75-100%,2,3,Gåture,Det har været nogenlunde det sammen,1-2 timer,75-100%,3,4,Ja,,0%,0%,0%,0%,,
27/04/2021 23.36.21,Kvinde,43,5,"Gåture, Løb, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",Over 5 timer,1-25 %,3,4,"Gåture, Løb, Vægttræning, Holdtræning (fx online, løbeklub, fitnesshold), Hjemmetræning",Det har været nogenlunde det sammen,4-5 timer,1-25%,4,5,Ja,,25-50%,1-25%,50-75%,1-25%,,
28/04/2021 05.11.38,Kvinde,43,5,"Holdtræning (online, løbeklub, fitnesshold), Sportsgren (fx. fodbold, atletik, tennis), Løb",Over 5 timer,1-25 %,4,3,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,3-4 timer,1-25%,2,2,Ja,,50-75%,1-25%,50-75%,0%,,
28/04/2021 05.23.19,Kvinde,25,4,"Gåture, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,1-25 %,3,2,Gåture,Det har ikke været det samme,1-2 timer,75-100%,4,1,Nej,,75-100%,0%,0%,0%,,
28/04/2021 05.45.22,Kvinde,19,5,"Gåture, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,3,2,"Gåture, Hjemmetræning",Det har ikke været det samme,1-2 timer,50-75%,1,1,Ja,,25-50%,1-25%,1-25%,0%,,
28/04/2021 07.28.58,Mand,42,4,"Løb, Sportsgren (fx. fodbold, atletik, tennis)",4-5 timer,0%,3,3,Løb,Det har været nogenlunde det sammen,3-4 timer,0%,2,4,Ja,,75-100%,25-50%,50-75%,25-50%,,
